aaa,"American Automobile Association, Inc.",generic
aarp,AARP,generic
abarth,Fiat Chrysler Automobiles N.V.,generic
abb,ABB Ltd,generic
abbott,"Abbott Laboratories, Inc.",generic
abbvie,AbbVie Inc.,generic
abc,"Disney Enterprises, Inc.",generic
able,Able Inc.,generic
abogado,Top Level Domain Holdings Limited,generic
abudhabi,Abu Dhabi Systems and Information Centre,generic
ac,"Network Information Center (AC Domain Registry)
c/o Cable and Wireless (Ascension Island)",country-code
academy,"Binky Moon, LLC",generic
accenture,Accenture plc,generic
accountant,dot Accountant Limited,generic
accountants,"Binky Moon, LLC",generic
aco,ACO Severin Ahlmann GmbH & Co. KG,generic
active,"Active Network, LLC",generic
actor,United TLD Holdco Ltd.,generic
ad,Andorra Telecom,country-code
adac,Allgemeiner Deutscher Automobil-Club e.V. (ADAC),generic
ads,Charleston Road Registry Inc.,generic
adult,ICM Registry AD LLC,generic
ae,Telecommunication Regulatory Authority (TRA),country-code
aeg,Aktiebolaget Electrolux,generic
aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
aetna,Aetna Life Insurance Company,generic
af,Ministry of Communications and IT,country-code
afamilycompany,"Johnson Shareholdings, Inc.",generic
afl,Australian Football League,generic
africa,ZA Central Registry NPC trading as Registry.Africa,generic
ag,UHSA School of Medicine,country-code
agakhan,Fondation Aga Khan (Aga Khan Foundation),generic
agency,"Binky Moon, LLC",generic
ai,Government of Anguilla,country-code
aig,"American International Group, Inc.",generic
aigo,"aigo Digital Technology Co,Ltd.",generic
airbus,Airbus S.A.S.,generic
airforce,United TLD Holdco Ltd.,generic
airtel,Bharti Airtel Limited,generic
akdn,Fondation Aga Khan (Aga Khan Foundation),generic
al,Electronic and Postal Communications Authority - AKEP,country-code
alfaromeo,Fiat Chrysler Automobiles N.V.,generic
alibaba,Alibaba Group Holding Limited,generic
alipay,Alibaba Group Holding Limited,generic
allfinanz,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,generic
allstate,Allstate Fire and Casualty Insurance Company,generic
ally,Ally Financial Inc.,generic
alsace,REGION GRAND EST,generic
alstom,ALSTOM,generic
am,"""Internet Society"" Non-governmental Organization",country-code
americanexpress,"American Express Travel Related Services Company, Inc.",generic
americanfamily,"AmFam, Inc.",generic
amex,"American Express Travel Related Services Company, Inc.",generic
amfam,"AmFam, Inc.",generic
amica,Amica Mutual Insurance Company,generic
amsterdam,Gemeente Amsterdam,generic
an,Retired,country-code
analytics,Campus IP LLC,generic
android,Charleston Road Registry Inc.,generic
anquan,QIHOO 360 TECHNOLOGY CO. LTD.,generic
anz,Australia and New Zealand Banking Group Limited,generic
ao,Faculdade de Engenharia da Universidade Agostinho Neto,country-code
aol,OATH Inc.,generic
apartments,"Binky Moon, LLC",generic
app,Charleston Road Registry Inc.,generic
apple,Apple Inc.,generic
aq,Antarctica Network Information Centre Limited,country-code
aquarelle,Aquarelle.com,generic
ar,Presidencia de la Nación – Secretaría Legal y Técnica,country-code
arab,League of Arab States,generic
aramco,Aramco Services Company,generic
archi,STARTING DOT LIMITED,generic
army,United TLD Holdco Ltd.,generic
arpa,Internet Architecture Board (IAB),infrastructure
art,UK Creative Ideas Limited,generic
arte,Association Relative à la Télévision Européenne G.E.I.E.,generic
as,AS Domain Registry,country-code
asda,"Wal-Mart Stores, Inc.",generic
asia,DotAsia Organisation Ltd.,sponsored
associates,"Binky Moon, LLC",generic
at,nic.at GmbH,country-code
athleta,"The Gap, Inc.",generic
attorney,"United TLD Holdco, Ltd",generic
au,.au Domain Administration (auDA),country-code
auction,"United TLD HoldCo, Ltd.",generic
audi,AUDI Aktiengesellschaft,generic
audible,"Amazon Registry Services, Inc.",generic
audio,"Uniregistry, Corp.",generic
auspost,Australian Postal Corporation,generic
author,"Amazon Registry Services, Inc.",generic
auto,Cars Registry Limited,generic
autos,"DERAutos, LLC",generic
avianca,Aerovias del Continente Americano S.A. Avianca,generic
aw,SETAR,country-code
aws,"Amazon Registry Services, Inc.",generic
ax,Ålands landskapsregering,country-code
axa,AXA SA,generic
az,IntraNS,country-code
azure,Microsoft Corporation,generic
ba,Universtiy Telinformatic Centre (UTIC),country-code
baby,"Johnson & Johnson Services, Inc.",generic
baidu,"Baidu, Inc.",generic
banamex,Citigroup Inc.,generic
bananarepublic,"The Gap, Inc.",generic
band,"United TLD Holdco, Ltd",generic
bank,"fTLD Registry Services, LLC",generic
bar,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,generic
barcelona,Municipi de Barcelona,generic
barclaycard,Barclays Bank PLC,generic
barclays,Barclays Bank PLC,generic
barefoot,"Gallo Vineyards, Inc.",generic
bargains,"Binky Moon, LLC",generic
baseball,"MLB Advanced Media DH, LLC",generic
basketball,Fédération Internationale de Basketball (FIBA),generic
bauhaus,Werkhaus GmbH,generic
bayern,Bayern Connect GmbH,generic
bb,"Government of Barbados
Ministry of Economic Affairs and Development
Telecommunications Unit",country-code
bbc,British Broadcasting Corporation,generic
bbt,BB&T Corporation,generic
bbva,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",generic
bcg,"The Boston Consulting Group, Inc.",generic
bcn,Municipi de Barcelona,generic
bd,Posts and Telecommunications Division,country-code
be,DNS Belgium vzw/asbl,country-code
beats,"Beats Electronics, LLC",generic
beauty,L'Oréal,generic
beer,Top Level Domain Holdings Limited,generic
bentley,Bentley Motors Limited,generic
berlin,dotBERLIN GmbH & Co. KG,generic
best,BestTLD Pty Ltd,generic
bestbuy,"BBY Solutions, Inc.",generic
bet,Afilias plc,generic
bf,ARCE-AutoritÈ de RÈgulation des Communications Electroniques,country-code
bg,Register.BG,country-code
bh,Telecommunications Regulatory Authority (TRA),country-code
bharti,Bharti Enterprises (Holding) Private Limited,generic
bi,Centre National de l'Informatique,country-code
bible,American Bible Society,generic
bid,dot Bid Limited,generic
bike,"Binky Moon, LLC",generic
bing,Microsoft Corporation,generic
bingo,"Binky Moon, LLC",generic
bio,STARTING DOT LIMITED,generic
biz,"Neustar, Inc.",generic-restricted
bj,Benin Telecoms S.A.,country-code
bl,Not assigned,country-code
black,Afilias plc,generic
blackfriday,"Uniregistry, Corp.",generic
blanco,BLANCO GmbH + Co KG,generic
blockbuster,Dish DBS Corporation,generic
blog,"Knock Knock WHOIS There, LLC",generic
